"nobs","sigma","logLik","AIC","BIC","REMLcrit","df.residual","yvar"
51,7.49856374733416,-159.039638088451,338.079276176902,357.397532504145,318.079276176902,41,"fitovol_dm3"
54,12.1190090727035,-188.383751595805,400.767503191611,424.635311750382,376.767503191611,42,"rec_total_porc"
54,3.7173198994601,-135.169377062436,292.338754124872,314.217578637079,270.338754124872,43,"riqueza"
54,0.386136330354451,-31.3868787019339,82.7737574038679,102.663597869511,62.7737574038679,44,"shannon"
54,0.573935616670173,-56.1317944017413,134.263588803483,156.14241331569,112.263588803483,43,"tasa_cons"
