"variable","factor","fvalue","p"
"fitovol_dm3","sr.sum",3.29,0.076
"fitovol_dm3","cic",0.36,0.551
"fitovol_dm3","commons",1.05,0.358
"fitovol_dm3","transh",2.2,0.145
"fitovol_dm3","commons:transh",0.39,0.678
"rec_total_porc","sr.spr",0.09,0.766
"rec_total_porc","sr.sum",1.26,0.294
"rec_total_porc","ph",0.48,0.508
"rec_total_porc","potasio",2.34,0.165
"rec_total_porc","commons",1.42,0.298
"rec_total_porc","transh",0.35,0.569
"rec_total_porc","commons:transh",2.77,0.122
"riqueza","sr.sum",0.97,0.331
"riqueza","cic",10.12,0.003
"riqueza","ph",1.35,0.252
"riqueza","commons",6.58,0.003
"riqueza","transh",8.92,0.005
"riqueza","commons:transh",0.67,0.519
"shannon","cic",4.94,0.031
"shannon","nitrogeno",0.67,0.416
"shannon","commons",0,0.998
"shannon","transh",1.26,0.268
"shannon","commons:transh",0.35,0.707
"tasa_cons","sr.sum",8.86,0.016
"tasa_cons","cic",2.52,0.147
"tasa_cons","fosforo",2.23,0.17
"tasa_cons","commons",7.39,0.013
"tasa_cons","transh",0,0.973
"tasa_cons","commons:transh",0.32,0.731
