"","formula","(Intercept)","cic","commons","sr.sum","transh","sr.spr","ph","nitrogeno","fosforo","potasio","df","logLik","AIC","delta","weight"
"1","1 + sr.sum + cic + (commons + transh)",19.5106201105288,0.478411830713128,"+",-1.1202285432691,"+",,,,,,8,-143.794062120204,303.588124240407,0,0.253456304577923
"2","1 + sr.spr + sr.sum + cic + (commons + transh)",20.3273125833423,0.499641519367277,"+",-2.08310216278877,"+",3.2938867549419,,,,,9,-143.170169389997,304.340338779994,0.75221453958676,0.1740050235634
"3","1 + sr.sum + cic + ph + (commons + transh)",30.6156852895732,0.504320993779093,"+",-0.839569242749325,"+",,-1.72987666150909,,,,9,-143.389640034694,304.779280069387,1.19115582898036,0.139716242311362
"4","1 + cic + ph + (commons + transh)",38.6345785243774,0.544206614089406,"+",,"+",,-3.403438620252,,,,8,-144.543835983159,305.087671966317,1.49954772591036,0.119751358020477
"5","1 + sr.sum + cic + nitrogeno + (commons + transh)",19.019985732316,0.554453395772298,"+",-1.15420091589399,"+",,,-1.95307891644175,,,9,-143.551408235515,305.102816471031,1.51469223062372,0.118847995080058
"6","1 + sr.sum + cic + fosforo + (commons + transh)",19.8525285311322,0.489886057824248,"+",-1.15185904504761,"+",,,,-0.0126514474190951,,9,-143.749803098502,305.499606197004,1.91148195659656,0.0974608209998251
"7","1 + sr.sum + cic + potasio + (commons + transh)",20.0673992602965,0.487348529634958,"+",-1.17636728024634,"+",,,,,-0.0027541513899676,9,-143.756996564675,305.513993129349,1.92586888894209,0.0967622554469559
