"","formula","(Intercept)","cic","commons","transh","potasio","nitrogeno","sr.aut","fosforo","sr.spr","ph","df","logLik","AIC","delta","weight"
"1","1 + cic + (commons + transh)",1.24772833113922,0.0321659206628525,"+","+",,,,,,,7,-21.6175502510326,57.2351005020653,0,0.269384497783499
"2","1 + cic + potasio + (commons + transh)",1.16619481197909,0.0292162397642843,"+","+",0.00078104226609976,,,,,,8,-21.2835593182343,58.5671186364686,1.33201813440331,0.138397593029615
"3","1 + cic + nitrogeno + (commons + transh)",1.17234368922703,0.0410388121014499,"+","+",,-0.22526888141616,,,,,8,-21.3157938975084,58.6315877950167,1.39648729295147,0.134007540714144
"4","1 + sr.aut + cic + (commons + transh)",1.36886040010639,0.0319101194473693,"+","+",,,-0.0486616654597241,,,,8,-21.3285192636429,58.6570385272859,1.42193802522058,0.132313050067089
"5","1 + cic + fosforo + (commons + transh)",1.28028119263268,0.034271071992505,"+","+",,,,-0.00216539976837986,,,8,-21.4910876367367,58.9821752734735,1.74707477140822,0.112460531966445
"6","1 + sr.spr + cic + (commons + transh)",1.32873295942969,0.0311783289514536,"+","+",,,,,-0.0701832039780571,,8,-21.4968034411705,58.9936068823409,1.75850638027566,0.111819563130529
"7","1 + cic + ph + (commons + transh)",0.981358245723029,0.0317682890611972,"+","+",,,,,,0.0370072975797935,8,-21.59247692833,59.1849538566601,1.94985335459479,0.10161722330868
