commons,commonsSort,transh,id,parcela,quadrat,i_shannon,fitovol_dm3,rec_total_porc,rec_vegetal_porc,riqueza,tasa_cons,estiercol_kg_ha,shannon,sr.win,sr.spr,sr.sum,sr.aut,altitud_m,cic,fosforo,mo,ph,potasio,nitrogeno,carbono
Castril,0_Castril,short,CES_1_1,CES_1,1,-1.5593533434429294,9,90,95.89999999999995,19,1.2627737226277382,75.53831999999998,1.5593533434429294,0,2.122153209109731,5.603864734299518,1.8840579710144927,1725,14,17,5.82,7.88,80,0.42247500000000004,13.45
Castril,0_Castril,short,CES_1_2,CES_1,2,-1.7359254840516396,7.5,75,75.59999999999997,17,0.7023809523809526,75.53831999999998,1.7359254840516396,0,2.122153209109731,5.603864734299518,1.8840579710144927,1725,14,17,5.82,7.88,80,0.42247500000000004,13.45
Castril,0_Castril,short,CES_1_3,CES_1,3,-1.256514477933143,NA,65,87.79999999999998,10,1.2528473804100233,75.53831999999998,1.256514477933143,0,2.122153209109731,5.603864734299518,1.8840579710144927,1725,14,17,5.82,7.88,80,0.42247500000000004,13.45
Castril,0_Castril,short,CES_2_1,CES_2,1,-1.548136944179666,NA,95,126.09999999999994,23,0.7993655828707378,112.24355999999997,1.548136944179666,0,1.577922077922078,2.6553030303030303,0.4318181818181818,1753,24,56,11.64,7.08,109,0.725785,7.755000000000001
Castril,0_Castril,short,CES_2_2,CES_2,2,-2.4504972464240056,15,75,76.79999999999998,33,0.748697916666667,112.24355999999997,2.4504972464240056,0,1.577922077922078,2.6553030303030303,0.4318181818181818,1753,24,56,11.64,7.08,109,0.725785,7.755000000000001
Castril,0_Castril,short,CES_2_3,CES_2,3,-1.926009653587065,28.5,95,101.09999999999994,22,1.559841740850644,112.24355999999997,1.926009653587065,0,1.577922077922078,2.6553030303030303,0.4318181818181818,1753,24,56,11.64,7.08,109,0.725785,7.755000000000001
Castril,0_Castril,short,CES_3_1,CES_3,1,-1.574439696905502,7.9,79,70.9,18,2.7348377997179125,31.385639999999995,1.574439696905502,0.051759834368530024,1.1608991422656019,1.2836438923395446,0.5693581780538303,1637,14,20,5.8,7.46,265,0.322785,3.675
Castril,0_Castril,short,CES_3_2,CES_3,2,-1.8557405284054564,49.5,99,114.19999999999992,29,1.974605954465851,31.385639999999995,1.8557405284054564,0.051759834368530024,1.1608991422656019,1.2836438923395446,0.5693581780538303,1637,14,20,5.8,7.46,265,0.322785,3.675
Castril,0_Castril,short,CES_3_3,CES_3,3,-1.1164709981288379,16,80,90.89999999999995,16,4.002200220022004,31.385639999999995,1.1164709981288379,0.051759834368530024,1.1608991422656019,1.2836438923395446,0.5693581780538303,1637,14,20,5.8,7.46,265,0.322785,3.675
Castril,0_Castril,long,CTS_1_1,CTS_1,1,-2.2666528087734097,6,30,41.40000000000002,25,1.0386473429951686,109.05179999999999,2.2666528087734097,0,1.1134453781512605,5.1797385620915035,3.880718954248366,1717,19,25,6.31,7.81,185,0.368195,7.8100000000000005
Castril,0_Castril,long,CTS_1_2,CTS_1,2,-1.3947337856018611,20,50,66.19999999999997,19,0.9939577039274927,109.05179999999999,1.3947337856018611,0,1.1134453781512605,5.1797385620915035,3.880718954248366,1717,19,25,6.31,7.81,185,0.368195,7.8100000000000005
Castril,0_Castril,long,CTS_1_3,CTS_1,3,-1.7881095487397893,18,60,68.50000000000001,17,1.0233576642335764,109.05179999999999,1.7881095487397893,0,1.1134453781512605,5.1797385620915035,3.880718954248366,1717,19,25,6.31,7.81,185,0.368195,7.8100000000000005
Castril,0_Castril,long,CTS_2_1,CTS_2,1,-2.188173000428311,14,70,79.49999999999989,31,1.9333333333333358,44.68463999999999,2.188173000428311,0,1.1134453781512605,5.1797385620915035,3.880718954248366,1688,19,25,8.79,7.18,174,0.51706,6.87
Castril,0_Castril,long,CTS_2_2,CTS_2,2,-2.1263637427048963,20,50,53.70000000000002,23,1.1638733705772808,44.68463999999999,2.1263637427048963,0,1.1134453781512605,5.1797385620915035,3.880718954248366,1688,19,25,8.79,7.18,174,0.51706,6.87
